age,work class,education,eduction num years,marital status,job title,native country,label
39, State-gov, Bachelors,13, Never-married, Adm-clerical, United-States, <=50K
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, <=50K
38, Private, HS-grad,9, Divorced, Handlers-cleaners, United-States, <=50K
53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, United-States, <=50K
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Cuba, <=50K
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, United-States, <=50K
49, Private, 9th,5, Married-spouse-absent, Other-service, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, United-States, >50K
31, Private, Masters,14, Never-married, Prof-specialty, United-States, >50K
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, United-States, >50K
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, India, >50K
23, Private, Bachelors,13, Never-married, Adm-clerical, United-States, <=50K
32, Private, Assoc-acdm,12, Never-married, Sales, United-States, <=50K
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, ?, >50K
34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Mexico, <=50K
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, United-States, <=50K
32, Private, HS-grad,9, Never-married, Machine-op-inspct, United-States, <=50K
38, Private, 11th,7, Married-civ-spouse, Sales, United-States, <=50K
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, United-States, >50K
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, United-States, >50K
54, Private, HS-grad,9, Separated, Other-service, United-States, <=50K
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, United-States, <=50K
43, Private, 11th,7, Married-civ-spouse, Transport-moving, United-States, <=50K
59, Private, HS-grad,9, Divorced, Tech-support, United-States, <=50K
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, United-States, >50K
19, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
54, ?, Some-college,10, Married-civ-spouse, ?, South, >50K
39, Private, HS-grad,9, Divorced, Exec-managerial, United-States, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, United-States, <=50K
45, Private, Bachelors,13, Divorced, Exec-managerial, United-States, <=50K
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, United-States, <=50K
22, State-gov, Some-college,10, Married-civ-spouse, Other-service, United-States, <=50K
48, Private, 11th,7, Never-married, Machine-op-inspct, Puerto-Rico, <=50K
21, Private, Some-college,10, Never-married, Machine-op-inspct, United-States, <=50K
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, United-States, <=50K
31, Private, Some-college,10, Married-civ-spouse, Sales, ?, >50K
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, United-States, <=50K
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, United-States, <=50K
53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, <=50K
24, Private, Bachelors,13, Married-civ-spouse, Tech-support, United-States, <=50K
49, Private, HS-grad,9, Separated, Adm-clerical, United-States, <=50K
25, Private, HS-grad,9, Never-married, Handlers-cleaners, United-States, <=50K
57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, >50K
53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, United-States, <=50K
44, Private, Masters,14, Divorced, Exec-managerial, United-States, <=50K
41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, United-States, <=50K
29, Private, Assoc-voc,11, Never-married, Prof-specialty, United-States, <=50K
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, United-States, <=50K
18, Private, HS-grad,9, Never-married, Other-service, ?, <=50K
47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Honduras, >50K
50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, United-States, >50K
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, United-States, <=50K
43, Private, Some-college,10, Married-civ-spouse, Tech-support, United-States, >50K
46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Mexico, <=50K
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Puerto-Rico, <=50K
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, United-States, <=50K
